fair_mkt_rent,area_name,county_name,pop2010,state,metro
1548,"Litchfield County, CT",Watertown town,22514,CT,0
1548,"Litchfield County, CT",Winchester town,11242,CT,0
1548,"Litchfield County, CT",Woodbury town,9975,CT,0
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Chester town,3994,CT,1
1695,"Southern Middlesex County, CT HUD Metro FMR Area",Clinton town,13260,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Cromwell town,14005,CT,1
1695,"Southern Middlesex County, CT HUD Metro FMR Area",Deep River town,4629,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Durham town,7388,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",East Haddam town,9126,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",East Hampton town,12959,CT,1
1695,"Southern Middlesex County, CT HUD Metro FMR Area",Essex town,6683,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Haddam town,8346,CT,1
1695,"Southern Middlesex County, CT HUD Metro FMR Area",Killingworth town,6525,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlefield town,4425,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middletown town,47648,CT,1
1695,"Southern Middlesex County, CT HUD Metro FMR Area",Old Saybrook town,10242,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Portland town,9508,CT,1
1695,"Southern Middlesex County, CT HUD Metro FMR Area",Westbrook town,6938,CT,1
1762,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",Ansonia town,19249,CT,1
1762,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",Beacon Falls town,6049,CT,1
1818,"New Haven-Meriden, CT HUD Metro FMR Area",Bethany town,5563,CT,1
1818,"New Haven-Meriden, CT HUD Metro FMR Area",Branford town,28026,CT,1
1818,"New Haven-Meriden, CT HUD Metro FMR Area",Cheshire town,29261,CT,1
1762,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",Derby town,12902,CT,1
1818,"New Haven-Meriden, CT HUD Metro FMR Area",East Haven town,29257,CT,1
